招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
java 开发工程师,南昌·红谷滩区·前湖大学城,长天云端,6-10K·13薪,3-5年,本科,带薪年假，零食下午茶，年终奖，加班补助，员工旅游，绩效奖金，全勤奖，工龄奖，生日福利，节日福利，五险一金,SpringCloudCSS后端开发SpringBootSpring,https://www.zhipin.com/job_detail/8171e05ebcd409b81Xd62Nu6F1RT.html?lid=8eGh33uYKh3.search.1&securityId=Zb87je1cuVz66-612CG0qfXCm4a4SfPB-M-H0b-udOLqR3FG7Lo7WvvJmtFb0xkM5tv011R3t0ZAZCe7Ytkv1xgHenWE2P6bBPC93Mfekao1shBgUAU~&sessionId=
JAVA 软件工程师,南昌·青山湖区·湖坊,谷谷丁,5-10K,1-3年,大专,五险一金，包吃，节日福利，带薪年假，员工旅游，年终奖,SQLHTMLCSS微服务架构SpringOracleMySQL,https://www.zhipin.com/job_detail/ca0609205e4aefe71nN70964FVNV.html?lid=8eGh33uYKh3.search.2&securityId=Y9cvFrmzfihRN-w1sFg3k-5oLPkw7vsYt_uHZp7uwPEkxpGeWNvPLqNAByafZnypzldPdHwZIkBeqW3DTqwtVx1IVsCKt8YvlPnljqs_P3-0XWP0Sm_Y&sessionId=
JAVA 高级程序员,南昌·红谷滩区·铜锣湾广场,奥格科技,15-19K,5-10年,本科,意外险，生日福利，定期体检，餐补，带薪年假，五险一金，团建聚餐，节日福利，年终奖,HTMLSQL微服务架构服务器配置分布式技术,https://www.zhipin.com/job_detail/ab72e79225f0918b1XV72tW8GVJT.html?lid=8eGh33uYKh3.search.3&securityId=H01toefufxT5d-o1q4VkyBW8kkSIp-BBVzQibcwIvhaPs7BNlAMTm7E_xUCMXG42AkKXYPaCmo3tihCXJXmj8GmfZgdOwarYiiv4s8CrnW-TzmwNsyhh&sessionId=
java 软件工程师,南昌·红谷滩区·名门世家,江西通联,10-15K,3-5年,本科,定期体检，交通补助，全勤奖，员工旅游，年终奖，包吃，加班补助，五险一金，节日福利，带薪年假,后端工程师全栈工程师JavaSpringMyBatis,https://www.zhipin.com/job_detail/fb7b5b574fb730891XN_3tq7F1JV.html?lid=8eGh33uYKh3.search.4&securityId=j4iPOVqJQvTjL-l1yKv5ITWeZK3i6l4Ul-72RILBSejmDi-nSyiuDdFbN-LbJVupd4sJE9GbuiWQuNdbvDUfSrnPKCcwrTEAFfJbKDClkb1tFRkQJUM~&sessionId=
JAVA 开发工程师,南昌·青山湖区·艾溪湖,蓝凌软件,10-15K,3-5年,本科,交通补助，节日福利，意外险，团建聚餐，带薪年假，底薪加提成，年终奖，定期体检，通讯补贴，五险一金，补充医疗保险,SQL服务器配置MVC开发HibernateStruts,https://www.zhipin.com/job_detail/2614db67e1ffd35a1n1-2NW6GFNR.html?lid=8eGh33uYKh3.search.5&securityId=Miw46zGNFvUGP-p1-jXCyR8x20l9BDESdeqGTd35CeXj_Pu63oUmHa9vb_68vknX30DOaOybz8X2J3VN-1Ny01SLiCA3zpGTPARAs03Ro0wYIAIi&sessionId=
Java 开发高级工程师,南昌·青山湖区·昌东,昂咕,12-15K,3-5年,本科,五险一金，补充医疗保险，节日福利，股票期权，带薪年假，员工旅游，餐补，年终双薪，定期体检，弹性工作,分布式技术微服务架构SpringHibernateSpringBoot,https://www.zhipin.com/job_detail/ff05f9eeadc361441nd72dy4FFpW.html?lid=8eGh33uYKh3.search.6&securityId=4Cni_cOqXeGWj-y1dtXrb8nEosEZklWKxE8habPHCXEs8yToxZxwo385zkZvfBxl8centUQxL4dF6ZqISkM7j56WX9WzKoXo8X9oTOoRWIYYEsKKbm1g&sessionId=
java 软件开发工程师,南昌·青山湖区·京东,江西宇创,7-12K,5-10年,本科,带薪年假，季度奖金，加班补助，年终奖，五险一金，定期体检，通讯补贴，电脑使用补助，出差补助，项目奖金,数据库SQLJavaJavaScript,https://www.zhipin.com/job_detail/0c3efdfcaede71901n1_3tq7FVJQ.html?lid=8eGh33uYKh3.search.7&securityId=-8RNGZloNUm8b-f1TEY8h_tXD_1ujDDA999f1LTuEfcKQGkIqJvlcpTTGAsDmJu_7cbAhutskdYxnIX_t-phIXsB8HBwxf-v2d99tri7irH5KvJU4A~~&sessionId=
Java,南昌·青山湖区·京东,上海钢银,14-20K,3-5年,本科,,SpringSpringMVCMySQLRedis高级软件工程师,https://www.zhipin.com/job_detail/6231230479f4bf2d1XV62dy4FVpR.html?lid=8eGh33uYKh3.search.8&securityId=jvopjfRxhaMO1-W1_VnhZDXOpPTLgIlUDo93teAnxX9_cZ2OiM79QeDD-oY7PvFI3x_gh-3w7eUylCwXx0432S0StfJdOgUJheqJB6f6mTbCYl5FcO4~&sessionId=
Java,南昌·南昌县·象湖,百胜智能,8-13K,3-5年,大专,免费班车，加班补助，包吃，五险一金，带薪年假，节日福利，年终奖,Java spring bootspring cloudrabbitmqredisnetty,https://www.zhipin.com/job_detail/e2add6aca1718d0733Fy0967FFA~.html?lid=8eGh33uYKh3.search.9&securityId=Ehn19moyAdeY4-I1G01kTlSbT24FGSEeqpzOJl8e8CGfwze789GdBCEL8FiBKsNWJCjgWoDEDYEpzXzbeK-w7j0XxDBhxZDUo-K8eUk9uBFKwyPR&sessionId=
Java,南昌·西湖区·桃源,迅博网络科技,8-12K·13薪,1-3年,大专,补充医疗保险，股票期权，住房补贴，全勤奖，年终奖,数据结构软件工程师初级软件工程师中级软件工程师,https://www.zhipin.com/job_detail/ce7763804ea3d23f1XZ92d60ElNT.html?lid=8eGh33uYKh3.search.10&securityId=870jDx4bN3IcP-f1z9iIYjLqF-Ly8agfxHTZkr_OeNPtq3LHJLsG4VKu6pB0Qs2vO5-LpHkZj7aPF8fvQ2yxAXYrWL3H9zzKTGBbTO2PAeL-De1Bt8E~&sessionId=
Java,南昌·红谷滩区·豫章,永正科技,10-15K,3-5年,本科,,SpringBootSQL,https://www.zhipin.com/job_detail/129eb901271d5ff61nxy3dy5ElFY.html?lid=8eGh33uYKh3.search.11&securityId=59yjTH9BONjUW-81WayImQbK34F4yMzkXD6R6iaTr-8E6LYLO8ZBMHpwgu8Seac2LgcUiiTFPe89SU9oo1IEtKyLaPYV-cgUjIq-Cgk20wtXiQ~~&sessionId=
Java,南昌·青山湖区·上海路,生鲜荟,8-10K,1-3年,本科,,JavaCSSMVC开发网络编程SpringRedisMaven,https://www.zhipin.com/job_detail/f4ec01b0d5ede5343nZ43di4F1s~.html?lid=8eGh33uYKh3.search.12&securityId=doP6uO9T9fvj6-f16MKnUIYT_WBw3cZuZSeF023uCVoFZ4pdPK5Yja2FeI8BvdD0GGt1KgW9qilfqHZJeghb-ck1Hb3Ec_ek2LpGaoFVv_ZD5GN58w~~&sessionId=
Java,南昌·青山湖区·昌东,迈优,3-6K,1年以内,大专,五险一金，带薪年假，通讯补贴，项目奖金，定期体检，员工旅游，节日福利，交通补助,中级软件工程师企业级应用开发SpringMVC,https://www.zhipin.com/job_detail/651a65b99e6334d91Xd-2tS1E1VV.html?lid=8eGh33uYKh3.search.13&securityId=Eeurcf5wcH8VH-I1PK2KEhcAOA-C60JqzzXeoIdVg3niL9DqV8khquS95zliHM1WFjbQaMW3AR5knMhNnfQdPXTfP2MnQiJxW2gdguXCiHcrGISz67w~&sessionId=
java,南昌·青山湖区·高新,万思,10-15K,3-5年,大专,五险一金，加班补助，补充医疗保险，节日福利，带薪年假,后端工程师Java计算机/软件工程相关经验Java开发经验,https://www.zhipin.com/job_detail/86fb309508a148921XN7296_E1BZ.html?lid=8eGh33uYKh3.search.14&securityId=ShC8p4zVpAxOu-U1JzyDb4Et4hLfHCwlm-YNbEt2r2hHdp5DdySj0Ua1mggSAGk8AjjETPm8GTpkjMjtmAFXIw8wSLubd1QAm-jVxM-BPWQwfZ--A-KI&sessionId=
Java,南昌·青山湖区·高新,易卫云,7-12K,1-3年,大专,全勤奖，员工旅游，早中晚工作餐，租房补贴，团建聚餐，五险一金，零食下午茶，节日福利,多线程文件管理系统算法基础数据结构,https://www.zhipin.com/job_detail/49ccb938a54fdd631nNz2Nq1GFRT.html?lid=8eGh33uYKh3.search.15&securityId=dsxRgG7WUqYQa-D1csJsu5byvf0JUx5lmE3tN1Be-YXOEi40NULzckM-jRrTpok27mTMqQDMb5I6XSHhMSEMDpHCxXFTm93isg4it2LADgGJI8w_36c-&sessionId=
Java,南昌·青山湖区·京东,京新医疗,5-6K,1-3年,本科,,AndroidJava中间件,https://www.zhipin.com/job_detail/f336fbc23420b1bf1Hx-3tS5EFI~.html?lid=8eGh33uYKh3.search.16&securityId=fF1EpxJg3vxoQ-b1Cpe5NkC4UFMsSdpg8e_Wo6LfOMcsCsJB0MzX6gv4fDMzjHKUfHULB94bdRYVtZ92rUUvjN_uPmNIV560r_MKTyQyBL0yzac-8Q~~&sessionId=
Java,南昌·西湖区·八一广场,象牙网络,18-35K,3-5年,大专,补充医疗保险，全勤奖，定期体检，五险一金,SpringMySQL后端开发Linux软件工程师,https://www.zhipin.com/job_detail/a6dc1b97104048161nNz2d64FVtQ.html?lid=8eGh33uYKh3.search.17&securityId=UUhOdLynQx_SA-N1SxEUx6zgrETWCxIha0uXf-uSs2IPqsWHdo0hGuPbh7uayLZxBxyKZB-IgxhscdzIG8tmB5UFAxlQTKw8eIdqDT6rmKmBD1hI-KE~&sessionId=
