招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
招聘职业,地区,公司,薪资,工作经验要求,学历要求,工作介绍,公司福利,详情页
网页前端开发设计,南昌·青云谱区·坛子口,企维科技,5-8K,经验不限,本科,交通补助，加班补助，节日福利，带薪年假，年终奖，全勤奖，员工旅游，通讯补贴,javascript,https://www.zhipin.com/job_detail/39c25530fccf47dd1XB52ty-FVc~.html?lid=8GDpVkSNYFr.search.1&securityId=4aRzkUQF1u2iB-c1hg1GcaiSiA534LJG_0EzIw5sU7E-DvJL1WCZSXeU6ZraI_Bg6UTq54SBGZ9m5nXfijVhEaEmE95loy-xhsNwvVvZi9wWb8Q~&sessionId=
网页前端工程师,南昌·青山湖区·昌东,兰亭门,6-9K,1-3年,大专,,HTML前端开发,https://www.zhipin.com/job_detail/cb8a8688495b2f681nB_2d61GVVU.html?lid=8GDpVkSNYFr.search.2&securityId=xNIuAdouAjiy4-71HWSzRy14yxcHX07O41pzu5pmDdvFqbkBnrddbBPastdGA0sGuCXeIlLbTk-XBL2cCETHGQNBBQzSb1hvWzNtHwYOnPTthks8-vnS&sessionId=
web 前端开发工程师,南昌·南昌县·象湖,制片帮,6-11K,1-3年,大专,补充医疗保险，绩效奖金，保底工资，全勤奖，节日福利，五险，节假日加班费，生日福利，零食下午茶，团建聚餐，带薪年假,CSSHTML5JavaScript计算机/软件工程相关专业,https://www.zhipin.com/job_detail/3cff8fb6e42c39491XJ52t21F1VR.html?lid=8GDpVkSNYFr.search.3&securityId=jRBr-PfLEguPv-91WpvLGB4URpIbKg91uCj2T9bF_bShMGDSIvJpu5iX4YQ0QSm2UCQU4v5XkQbBCN9-MYfZID_H5n6t9g9jyhC8-TcTT2NF3YVZdbA~&sessionId=
Web 开发工程师,南昌·红谷滩区·前湖大学城,长天云端,8-12K·13薪,3-5年,本科,带薪年假，五险一金，年终奖，员工旅游，零食下午茶，节日福利，全勤奖，生日福利，加班补助，绩效奖金，工龄奖,JavaScriptHTMLCSS前端开发PC端小程序Vue,https://www.zhipin.com/job_detail/120eb76bd4f4e8cf1Xd62Nu8EVBX.html?lid=8GDpVkSNYFr.search.4&securityId=rNZTQoP5b0baQ-t1gCwIKzg8U6iDCX4RSGVJamO5D3-v5KQFTeApDn5yAPAzzNNNsCJo4gfSWaXOWItONC4BKjg7BXoBBT0KiqeDDzsWZpRpy984EW8~&sessionId=
web前端,南昌·西湖区·八一广场,象牙网络,3-6K,1-3年,大专,补充医疗保险，五险一金，全勤奖，定期体检,前端开发JavaScriptCSSJQueryWeb端小程序,https://www.zhipin.com/job_detail/cb23eeefd2bb619b0HN63Nu0E1I~.html?lid=8GDpVkSNYFr.search.5&securityId=7b_DwUaZfvBmi-e1PqJVMwl3RNqUARgySRzy5U9KuE0ERj5TSuF0bVdBLhZ95c-Tg5U2WpiEPE5zq0-6yaGbK0rzRLB1sE3jJxmvqRQDQYnLtmOJ&sessionId=
web前端,南昌,慧创科技(深圳),5-8K,1-3年,大专,,vue.jsangularjshtml5,https://www.zhipin.com/job_detail/1bd8c84ba7d610621XJ63dq9GFU~.html?lid=8GDpVkSNYFr.search.6&securityId=HArZxsK0boZJb-H1Ga2HtWPICrUO0X0te55NfPfz_MbgNVE5QCz_FnUi7KX-djakE_rfrGtkv8thMESH0LjqSf3bfkDwuRo1XDZkhUmlmKqDxro~&sessionId=
web前端,南昌·红谷滩区·红角洲,科链九维,5-7K,1-3年,大专,工龄奖，有无线网，生日福利，通讯补贴，交通补助，夜班补助，餐补，住房补贴，全勤奖，年终奖，保底工资，意外险，加班补助,HTML前端开发WEB开发,https://www.zhipin.com/job_detail/e12406262df6bff51Xd_2dq7EVpR.html?lid=8GDpVkSNYFr.search.7&securityId=uRy2wzW6QDrk--Y1r2x6UP2UyIarDki-cRK_rYvATr_TgrftglGmf-iBGEi-8KOKNwKs2ZEo31vVHyNVH6zk5TAXqNI2T7KYHg7zDsgcEcdlyoPLK61_&sessionId=
web前端,南昌·东湖区·八一广场,浪天数字,6-9K,1-3年,大专,交通补助，五险一金,JavaScriptVue前端开发经验,https://www.zhipin.com/job_detail/aefa005019ab24661XJ82tm8FVtZ.html?lid=8GDpVkSNYFr.search.8&securityId=VrB2wMegz8Tho-Q1hB4mmUoLXE4C0xQFiQaRlHvm0V188qc1skP-EU_82-bJu_Nixw6CEufx52-Q_KMoNUrsuHBNFG5YDWH_ciRsY6T3iQy8M4YaeQe2&sessionId=
web前端,南昌·东湖区·省府,江西电信信息产业,10-12K,1-3年,本科,定期体检，五险一金，加班补助，住房补贴，节日福利，带薪年假,前端开发JavaScriptCSSHTMLHTML5CSS3ES6,https://www.zhipin.com/job_detail/8ff2912cb047ccd81n1y2NS8FVdW.html?lid=8GDpVkSNYFr.search.9&securityId=QEKtVqESvrip_-71U69j-inkvYtBpGmjBWcH47C3gaBDiXeDyl4WGN0VQG3SEaZHeOdcTh_u6xnq_pewRn1hq0Tph8T_I7HOfNgz8S4AZf7A0YyoQBU~&sessionId=
web前端,南昌·青山湖区·高新,药实在,6-7K·13薪,3-5年,大专,五险一金,前端开发PC端移动端小程序,https://www.zhipin.com/job_detail/606eca4efb44939f1XR739m5F1RT.html?lid=8GDpVkSNYFr.search.10&securityId=f9tiEAKvU2YWk-41Qct_U9K9MuDCCS9-0aii8BLYbaSjfCK85kpLhUVx2DkHw0f1V21DznOYVrZ7sKjGYZBU31shWeRWN5H3kk_YRUYwIKR6cI-NwA~~&sessionId=
WEB前端,南昌·青山湖区·昌东,江西久链,6-8K,3-5年,大专,,HTML,https://www.zhipin.com/job_detail/2cd6e1096f0cce991XB52N69FVA~.html?lid=8GDpVkSNYFr.search.11&securityId=UkGOcddK25Qnm-q1kUtjvEq4bqL9V4_Lj27uv8_AJ1Eu5KyYxPjiJORPugMRYmfWzuuwolMpgQa1UktZiFUcpShk3NNrABBDoCJHWXipaKPkjoKa&sessionId=
web前端,南昌·青山湖区·北京东路,云影医疗,7-8K,3-5年,本科,五险一金，年终奖，交通补助，零食下午茶，餐补，带薪年假，员工旅游,前端开发JavaScriptCSSHTMLVue移动端小程序,https://www.zhipin.com/job_detail/044dbeb8672bb5d40HN82Nq_FVQ~.html?lid=8GDpVkSNYFr.search.12&securityId=cH_YOwzuKDQkR-F1FhiUeTMwq1VHfcr3VTj7e4_R1tAGlRy1J6D6p5OEAq4lKoTxdTkBzPM2af7qRXcfc-6ZM8_KGk0bVoHd9resGMoIxGR-G2b6&sessionId=
web前端,南昌·东湖区·叠山路,凤气昭仪网络科技,3-8K,1-3年,大专,年终奖，包吃，五险一金，加班补助，住房补贴,JavaScriptCSS前端开发ReactHTML,https://www.zhipin.com/job_detail/f05a29fe7fdef80a1XR83ti4FldU.html?lid=8GDpVkSNYFr.search.13&securityId=6x0mwtVO_E8A4-51fyZ5oRlniY0a5qoSDZ9C4WdYDH1igJ7cpk5Xw0hbXijJpf5Nh2GwoFTxWihtE35a1vsbrZQeO80PAMdmH7qM-1BUPa8fmUlorJ8D&sessionId=
web前端,南昌·青山湖区·艾溪湖,钢银电商,11-20K·13薪,3-5年,本科,员工旅游，定期体检，住房补贴，节日福利，带薪年假，股票期权，年终奖，餐补，免费班车，交通补助，五险一金，通讯补贴,AngularJSreactjquery,https://www.zhipin.com/job_detail/9bfe44cbc0af16700HZ829u8Elo~.html?lid=8GDpVkSNYFr.search.14&securityId=ON7SayUelfCTg-01n-jO_tGD2yhX4P73xmD6NJzuyhSz_Nr_ICKHmBtxcblTxmA12CstpbHQkFWSTTK5ApdGkFy7NfFo9krJ1ggBiAOL7MazOABBSKunLKVegfkRpMACwrS7WtAspISXyval4fpx&sessionId=
web前端,南昌·红谷滩区·红角洲,诏兰,6-10K,3-5年,大专,五险一金，零食下午茶，餐补，带薪年假，交通补助，年终奖,前端开发,https://www.zhipin.com/job_detail/9b13ee3b5a4d86e01nB809u7FFNW.html?lid=8GDpVkSNYFr.search.15&securityId=0foUvTngfPciW-J1bWAsBFRpoSo7xdnsTyBK2IPNxjJcuFVnq_BfaWl7Mua2BMNuiU3q7AQUmUZB9rTAR53GaN2g6B4C9lnlZsLGei8DlS6_9dIGiHhL&sessionId=
web前端,南昌·青山湖区·下罗,金太阳教育,7-12K,1-3年,本科,全勤奖，年终奖，餐补，五险一金，交通补助，免费班车，带薪年假，定期体检，节日福利，通讯补贴,JavaScriptHTMLCSS前端开发小程序ES6Vue,https://www.zhipin.com/job_detail/91afbd8129f09cd71XZ_29W1GFdR.html?lid=8GDpVkSNYFr.search.16&securityId=XTx6JizcL9iVn-P1crAFKewskDQnJ3vzs2kQieDAXhin7c_m_-KVMrWeUKmT26wcACexrACi28N_esZoaVXZXaS8UaRl86Ltb0Tuw9PzxU1KE60~&sessionId=
web前端,南昌·青山湖区·京东,得思信息,6-8K,经验不限,大专,餐补，节日福利，年终奖，五险一金，零食下午茶,javascriptBootStraphtml5,https://www.zhipin.com/job_detail/44c2346fb9bb862f1nx-3tW8ElQ~.html?lid=8GDpVkSNYFr.search.17&securityId=Bg1ILNuqZMBvM-H10mPCD0O-wmK7bxMmr4OWYhlDYjatOQjM9QPRrRkZi1b9sGMbQTl9M4lJbBgSoQGCihELXziHUHrbjMNthMgntiT2gzewTMk~&sessionId=
